model,hole_l1_output,hole_mse_output,hole_count,hole_total_pred,hole_total_gt
biased_0_1,1.6995426,81.24342677807415,3687.0,6116.31,552.10345
random_0_1,1.5504813,58.35812296331773,3687.0,5558.102,552.10345
biased_0_2,3.7026076,196.45046396731473,3687.0,13621.016,552.10345
random_0_2,2.6931033,131.33889506100942,3687.0,9915.834,552.10345
biased_0_3,0.78488255,21.382781433716243,3687.0,2860.8384,552.10345
random_0_3,1.5175811,59.4301634827681,3687.0,5642.9194,552.10345
biased_0_5,3.0111856,177.471037656715,3687.0,10750.97,551.79395
random_0_5,0.94624126,49.35398492100227,3687.0,3167.3362,551.79395
biased_0_7,1.3687783,95.92587148278966,3687.0,4552.6953,551.7831
random_0_7,0.9883295,41.614707487322725,3687.0,3405.2007,551.7831
biased_0_10,2.915705,187.40667673646112,3687.0,10333.706,551.79395
random_0_10,0.37861335,19.640105477828385,3687.0,976.086,551.79395
biased_0_15,1.1669103,47.61296864215418,3687.0,3863.0852,551.68463
random_0_15,0.49992827,20.77466815280142,3687.0,1453.696,551.68463
